,name,brand,rating,price,processor_brand,num_processor,processor_speed,ram,memory_inbuilt,battery_capacity,charger,charging,display_size_inches,pixel,resolution_width,resolution_height,ppi,frequency_display_hz,primary_front_camera,secondry_front_camera,primary_rear_camera,secondry_rear_camera,os_brand,version,memory_card_upto,sim,is_5G,is_wifi
62,Samsung Galaxy Tab S9 Tablet (5G+12GB+256GB),Samsung,4.3,88990,Snapdragon,8.0,3.2,12,256.0,8400.0,45.0,Fast,11.0,1600x2560,1600.0,2560.0,274.44,120.0,12.0,,13.0,,,,1TB,Single Sim,5G,Wi-Fi
63,Realme Pad 2 Tablet (8GB RAM + 256GB),Realme,4.55,22999,Helio,8.0,2.2,8,256.0,8360.0,33.0,Fast,11.5,1200x2000,1200.0,2000.0,202.82,120.0,5.0,,8.0,,,,1TB,Single Sim,not_available,Wi-Fi
64,Lenovo Tab M10 HD 2nd Gen Tablet (3GB RAM + 32GB),Lenovo,4.65,8999,Helio,8.0,2.0,3,32.0,5000.0,,,10.1,1280x800,1280.0,800.0,149.45,,5.0,,8.0,,,,256GB,Single Sim,not_available,Wi-Fi
65,Lenovo Tab Extreme,Lenovo,4.15,96990,Dimensity,8.0,3.05,12,256.0,12300.0,68.0,Fast,14.5,1876x3000,1876.0,3000.0,244.02,120.0,13.0,,13.0,,,,Supported,,not_available,Wi-Fi
66,Honor Pad X8,Honor,4.65,8999,Helio,8.0,2.0,3,32.0,5100.0,22.5,Fast,10.1,1920x1200,1920.0,1200.0,224.17,,2.0,,5.0,,,,512GB,,not_available,Wi-Fi
67,Lenovo Tab P11 2nd Gen,Lenovo,4.15,17999,Helio,8.0,2.2,6,128.0,,,,11.5,1200x2000,1200.0,2000.0,202.82,120.0,8.0,,13.0,,Android,12.0,512GB,Single Sim,not_available,Wi-Fi
68,Nokia T21 Tablet,Nokia,4.7,11999,Tiger,8.0,2.0,4,64.0,8200.0,18.0,Fast,10.36,1200x2000,1200.0,2000.0,225.13,,8.0,,8.0,,,,512GB,Single Sim,not_available,Wi-Fi
69,Vivo Pad Tablet,Vivo,4.4,28990,Snapdragon,8.0,3.2,8,128.0,8040.0,44.0,Fast,11.0,1600x2560,1600.0,2560.0,274.44,120.0,8.0,,13.0,8.0,Android,12.0,,,not_available,Wi-Fi
70,Samsung Galaxy Tab S7 FE (Wi-Fi Only),Samsung,4.55,32499,Snapdragon,8.0,2.4,4,64.0,10090.0,45.0,Fast,12.4,1600x2560,1600.0,2560.0,243.46,,5.0,,8.0,,,,1TB,,not_available,Wi-Fi
71,Apple iPad 9th Gen 10.2 2021 Tablet,Apple,4.6,38990,Bionic,6.0,2.65,,64.0,,,,10.2,2160x1620,2160.0,1620.0,264.71,,12.0,,8.0,,iOS,15.0,Not_available,Single Sim,not_available,Wi-Fi
72,Xiaomi Mi Pad 5 Pro 5G Tablet,Xiaomi,4.4,39999,Snapdragon,8.0,3.2,8,256.0,8600.0,67.0,Fast,11.0,1600x2560,1600.0,2560.0,274.44,120.0,8.0,,50.0,5.0,Android,11.0,,Single Sim,5G,Wi-Fi
73,Samsung Galaxy Tab S8 Ultra 5G Tablet,Samsung,4.5,89999,Snapdragon,8.0,3.0,12,256.0,11200.0,45.0,Fast,14.6,1848x2960,1848.0,2960.0,239.01,120.0,12.0,12.0,13.0,6.0,,,1TB,Single Sim,5G,Wi-Fi
74,Samsung Galaxy Tab S6 Lite,Samsung,4.15,30999,Exynos,8.0,2.3,4,64.0,7040.0,15.0,Fast,10.4,1200x2000,1200.0,2000.0,224.27,,5.0,,8.0,,,,1TB,Single Sim,not_available,Wi-Fi
75,Lenovo Tab M10a 5G,Lenovo,4.5,15990,Snapdragon,8.0,2.2,4,128.0,7700.0,20.0,Fast,10.61,1200x2000,1200.0,2000.0,219.83,,8.0,,13.0,,,,1TB,Single Sim,5G,Wi-Fi
76,Xiaomi Pad 7 Tablet,Xiaomi,4.4,32990,Snapdragon,8.0,3.0,8,256.0,9820.0,45.0,Fast,11.0,1800x3200,1800.0,3200.0,333.77,144.0,8.0,,13.0,,Android,13.0,,,not_available,Wi-Fi
77,iKall N11 New Tablet (Wi-Fi Only),iKall,4.5,3499,,,,2,16.0,3000.0,,,7.0,1024x600,1024.0,600.0,169.55,,0.3,,2.0,,Android,6.0,,Dual Sim,not_available,Wi-Fi
78,Apple iPad Air 6th Gen 5G Tablet,Apple,4.15,69999,Apple,8.0,,,64.0,,,,10.9,1640x2360,1640.0,2360.0,263.66,,12.0,,12.0,,iOS,17.0,Not_available,Single Sim,5G,Wi-Fi
79,Samsung Galaxy Tab A9 Tablet (Wi-Fi Only),Samsung,4.55,11999,Helio,8.0,2.2,4,64.0,5100.0,15.0,Fast,8.7,800x1340,800.0,1340.0,179.38,,2.0,,8.0,,Android,13.0,1TB,,,Wi-Fi
80,Chuwi Hi10 X Pro Tablet,Chuwi,4.0,7355,Unisoc,8.0,2.0,4,128.0,5000.0,,,10.1,1280x800,1280.0,800.0,149.45,,5.0,,8.0,,,,512GB,Dual Sim,not_available,Wi-Fi
81,Samsung Galaxy Tab S9 Plus Tablet (Wi-Fi+12GB+256GB),Samsung,4.25,90999,Snapdragon,8.0,3.2,12,256.0,10090.0,45.0,Fast,12.4,1752x2800,1752.0,2800.0,266.37,120.0,12.0,,13.0,8.0,Android,13.0,1TB,,,Wi-Fi
82,Oppo Pad Air 2 Tablet,Oppo,4.05,14990,Helio,8.0,2.2,6,128.0,8000.0,33.0,Fast,11.4,2408x1720,2408.0,1720.0,259.58,90.0,8.0,,8.0,,,,,Dual Sim,not_available,Wi-Fi
83,Nubia Redmagic Gaming Tablet,Nubia,4.05,39999,Snapdragon,8.0,3.2,12,256.0,10000.0,80.0,Fast,12.1,1600x2560,1600.0,2560.0,249.49,144.0,16.0,,13.0,,Android,13.0,Not_available,,5G,Wi-Fi
84,Honor Pad X8 (4GB RAM + 64GB),Honor,4.15,12999,Helio,8.0,2.0,4,64.0,5100.0,22.5,Fast,10.1,1920x1200,1920.0,1200.0,224.17,,2.0,,5.0,,,,512GB,,not_available,Wi-Fi
85,Lenovo Tab M9 (4GB RAM+64GB+ WI-Fi Only),Lenovo,4.4,11423,Helio,8.0,2.0,4,64.0,5100.0,10.0,Fast,9.0,800x1340,800.0,1340.0,173.4,,2.0,,8.0,,Android,12.0,512GB,,,Wi-Fi
86,Samsung Galaxy Tab S9 Plus,Samsung,4.3,104999,Snapdragon,8.0,3.2,12,256.0,10090.0,45.0,Fast,12.4,1752x2800,1752.0,2800.0,266.37,120.0,12.0,,13.0,8.0,,,1TB,Single Sim,5G,Wi-Fi
87,Samsung Galaxy Tab S9 Ultra Tablet,Samsung,4.1,122999,Snapdragon,8.0,3.2,12,256.0,11200.0,45.0,Fast,14.6,1848x2960,1848.0,2960.0,239.01,120.0,12.0,12.0,13.0,8.0,,,1TB,Single Sim,5G,Wi-Fi
88,Vivo Pad 2,Vivo,4.0,29990,Dimensity,8.0,3.05,8,128.0,10000.0,44.0,Fast,12.1,1968x2800,1968.0,2800.0,282.85,144.0,8.0,,13.0,2.0,Android,13.0,,,not_available,Wi-Fi
89,Lenovo Tab M9,Lenovo,4.35,8999,Helio,8.0,2.0,3,32.0,5100.0,10.0,Fast,9.0,800x1340,800.0,1340.0,173.4,,2.0,,8.0,,,,Supported,Single Sim,not_available,Wi-Fi
