laptop_id,model_name,brand,price_inr,rating,cpu_brand,cpu_tier,cpu_generation,cpu_cores,cpu_threads,ram_gb,ram_type,ssd_gb,hdd_gb,display_size_in,resolution_label,resolution_px,touchscreen,gpu_model,gpu_vram_gb,gpu_dedicated,os,warranty_years
759,Lenovo Thinkbook 15 21DJ00EXIH Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),Lenovo,53990,62.0,Intel,Core i5,12.0,10.0,12.0,8.0,DDR4,512,0,15.6,1920x1080,2073600.0,False,Iris Xe Graphics,0,False,Windows 11,1
760,Lenovo Thinkpad E15 21E6S05B00 Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),Lenovo,65750,63.0,Intel,Core i5,12.0,10.0,12.0,8.0,DDR4,512,0,15.6,1920x1080,2073600.0,False,UHD Graphics,0,False,Windows 11,1
761,Lenovo ThinkPad E14 21JRS00U00 Laptop (AMD Ryzen 5 7530U/ 16GB/ 512GB SSD/ Win11 Home),Lenovo,51290,61.0,AMD,Ryzen 5,7.0,6.0,12.0,16.0,DDR4,512,0,14.0,1920x1080,2073600.0,False,Radeon Graphics,0,False,Windows 11,1
762,Lenovo IdeaPad Gaming 3 82K2025LIN Laptop (AMD Ryzen 5 5600H/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),Lenovo,72990,64.0,AMD,Ryzen 5,5.0,6.0,12.0,16.0,DDR4,512,0,15.6,1920x1080,2073600.0,False,GTX 1650,4,True,Windows 11,1
763,Acer Aspire Lite AL15-51 UN.431SI.252 Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11),Acer,32390,55.0,Intel,Core i3,11.0,2.0,4.0,8.0,DDR4,512,0,15.6,1920x1080,2073600.0,False,UHD Graphics,0,False,Windows 11,1
764,MSI Stealth 15 A13VF-074IN Gaming Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home/ 8GB Graph),MSI,171990,74.0,Intel,Core i7,13.0,10.0,16.0,16.0,DDR5,1024,0,15.6,2560x1440,3686400.0,False,RTX 4060,8,True,Windows 11,2
765,Infinix Zerobook 13 ZL513 Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win 11 Home),Infinix,59990,54.0,Intel,Core i7,13.0,14.0,20.0,16.0,LPDDR5X,512,0,15.6,1920x1080,2073600.0,False,Integrated,0,False,Windows 11,1
766,HP Envy 15-fe0032TU Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11),HP,117000,65.0,Intel,Core i7,13.0,10.0,12.0,16.0,LPDDR5,1024,0,15.6,1920x1080,2073600.0,True,Integrated,0,False,Windows 11,1
767,Dell Inspiron 3535 Laptop (AMD Ryzen R5-7520U/ 8GB/ 512GB SSD/ Win11),Dell,44890,51.0,AMD,Ryzen 5,7.0,4.0,8.0,8.0,LPDDR5,512,0,15.6,1920x1080,2073600.0,False,Radeon Graphics,0,False,Windows 11,1
768,HP 14-gr0000TU Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),HP,45490,50.0,Intel,Core i3,13.0,6.0,8.0,8.0,DDR4,512,0,14.0,1920x1080,2073600.0,False,UHD Graphics,0,False,Windows 11,1
