item_id,brand,model_name,price_inr,rating,processor_brand,num_cores,processor_speed_ghz,ram_gb,storage_gb,battery_mah,display_size_in,refresh_hz,front_camera_mp,rear_camera_mp,os_brand,is_5g,is_wifi
102,iQOO,iQOO Pad 2,34990,4.0,Snapdragon,8.0,3.2,8.0,256.0,10500.0,12.1,144.0,16.0,13.0,Android,False,True
103,Google,Google Pixel Tablet (8GB RAM +256GB),96834,4.4,Tensor,8.0,2.85,8.0,256.0,,10.95,90.0,8.0,8.0,Android,False,True
104,Vivo,Vivo Pad 3 Pro,44990,4.2,Snapdragon,8.0,3.3,8.0,128.0,10500.0,12.4,144.0,8.0,13.0,Android,False,True
105,Google,Google Pixel Tablet 2,79990,4.45,Tensor,8.0,3.0,8.0,128.0,,11.95,90.0,12.0,12.0,Android,False,True
106,Doogee,Doogee T30S Tablet,24799,4.25,Unisoc,8.0,1.6,6.0,256.0,8580.0,11.0,,8.0,13.0,,False,True
107,Ulefone,Ulefone Armor Pad,16599,4.55,Helio,8.0,2.0,4.0,64.0,7650.0,8.0,,5.0,13.0,,False,True
108,Lenovo,Lenovo Tab K11,19990,4.55,Helio,8.0,2.0,4.0,128.0,7040.0,10.95,90.0,8.0,8.0,,False,True
109,iKall,iKall N11 New Tablet (Wi-Fi Only),3499,4.5,,,,2.0,16.0,3000.0,7.0,,0.3,2.0,Android,False,True
110,Oppo,Oppo Pad Neo Tablet,21990,4.35,Helio,8.0,2.2,6.0,128.0,8000.0,11.36,90.0,8.0,8.0,,False,True
111,Samsung,Samsung Galaxy Tab A9 Kids Edition Tablet,16990,4.55,Helio,8.0,2.2,4.0,64.0,5100.0,8.7,,2.0,8.0,,False,True
112,Samsung,Samsung Galaxy Tab Active 5,39999,4.7,Octa,8.0,,6.0,128.0,5050.0,8.0,,5.0,13.0,,True,True
113,Huawei,Huawei MatePad Pro 11 2024 Tablet,49990,4.65,Kirin,8.0,2.62,12.0,256.0,8300.0,11.0,120.0,16.0,13.0,,False,True
114,DOMO,DOMO Slate SL36 SE Tablet,7490,4.55,Helio,8.0,2.5,2.0,32.0,5020.0,10.1,,5.0,8.0,,False,True
115,Blackview,Blackview Tab 18,19990,4.25,Helio,8.0,2.2,12.0,256.0,8800.0,12.0,,8.0,16.0,,False,True
116,Doogee,Doogee T20 Ultra Tablet,23990,4.7,Helio,8.0,2.2,12.0,256.0,10800.0,12.0,90.0,8.0,16.0,,False,True
117,Doogee,Doogee T30 Ultra Tablet,25990,4.6,Helio,8.0,2.2,12.0,256.0,8580.0,11.0,90.0,8.0,16.0,,False,True
118,Doogee,Doogee T20 Mini Tablet,12990,4.1,Unisoc,8.0,2.0,4.0,128.0,5060.0,8.4,,5.0,13.0,,False,True
119,Teclast,Teclast T45HD Tablet,19999,4.35,Unisoc,8.0,2.0,8.0,128.0,7200.0,10.51,,8.0,13.0,,False,True
120,Ulefone,Ulefone Armor Pad 2,20999,4.45,Helio,8.0,2.2,8.0,256.0,18600.0,11.0,,16.0,48.0,,False,True
121,Wishtel,Wishtel IRA T808 Tablet,10416,4.2,Octa,8.0,2.0,3.0,32.0,5500.0,8.0,,5.0,8.0,,False,True
122,Samsung,Samsung Galaxy Tab A9 Tablet (Wi-Fi Only),11999,4.55,Helio,8.0,2.2,4.0,64.0,5100.0,8.7,,2.0,8.0,Android,False,True
123,Samsung,Samsung Galaxy Tab S9 FE (5G + 8GB RAM + 256GB),55999,4.1,Exynos,8.0,2.4,8.0,256.0,8000.0,10.9,90.0,12.0,8.0,,True,True
124,Samsung,Samsung Galaxy Tab S9 FE (Wi-Fi Only + 8GB RAM + 256GB),47999,4.2,Exynos,8.0,2.4,8.0,256.0,8000.0,10.9,90.0,12.0,8.0,Android,False,True
125,iKall,iKall N20 4G Tablet,7999,4.25,Octa,8.0,2.0,3.0,32.0,5000.0,10.1,,5.0,8.0,,False,True
126,DOMO,DOMO Slate SLP8 T310 Tablet,10490,4.65,Octa,8.0,1.6,4.0,64.0,5020.0,10.1,,5.0,13.0,,False,True
127,Lenovo,Lenovo Tab M11,19990,4.65,Helio,8.0,2.0,4.0,64.0,7040.0,11.0,90.0,8.0,13.0,Android,False,True
128,Wishtel,Wishtel IRA T811 Tablet PC,12340,4.35,Octa,8.0,2.0,4.0,64.0,5500.0,8.4,,5.0,8.0,,False,True
129,iKall,iKall N6 New Tablet,3999,4.3,Quad,4.0,1.3,2.0,32.0,3000.0,7.0,,2.0,5.0,Android,False,True
130,Amazon,Amazon Fire HD 10 2023 Tablet,12999,4.0,,,,3.0,32.0,,10.01,,,,,False,True
131,Huawei,Huawei MatePad Pro 13.2,35000,4.45,Kirin,8.0,2.62,12.0,256.0,10100.0,13.2,144.0,16.0,13.0,Harmony,False,True
132,Motorola,Motorola Moto Tab G84,19999,4.45,Octa,8.0,,6.0,128.0,7800.0,10.6,,8.0,8.0,,False,True
133,Huawei,Huawei MatePad 11.5 PaperMatte Edition Tablet,40999,4.4,Snapdragon,8.0,2.4,8.0,256.0,7700.0,11.5,120.0,8.0,13.0,Harmony,False,True
134,Cubot,Cubot Tab 40,10499,4.05,Tiger,8.0,2.0,8.0,128.0,7000.0,10.4,,5.0,13.0,,False,True
135,Doogee,Doogee T10 Pro Tablet,29999,4.7,Unisoc,8.0,2.0,15.0,256.0,8580.0,10.1,,8.0,13.0,Android,False,True
136,Doogee,Doogee T10 Plus Tablet,24999,4.0,Unisoc,8.0,2.0,20.0,256.0,8250.0,10.51,,8.0,13.0,Android,False,True
137,Doogee,Doogee U10 Tablet,23999,4.6,Rockchip,4.0,2.0,9.0,,5060.0,10.1,,5.0,8.0,,False,True
138,TCL,TCL Tab 10 Gen2,14990,4.6,Helio,8.0,2.0,4.0,128.0,6000.0,10.36,,5.0,8.0,,False,True
139,Lenovo,Lenovo Tab M8 4th Gen 2024 (3 GB RAM + 32 GB + WiFi Only),14999,4.6,Helio,8.0,,3.0,32.0,5100.0,8.0,,2.0,5.0,Android,False,True
140,Lenovo,Lenovo Tab M8 4th Gen 2024 (4 GB RAM + 64 GB + WiFi Only),17999,4.5,Helio,8.0,,4.0,64.0,5100.0,8.0,,2.0,8.0,,False,True
141,Teclast,Teclast M50 Pro Tablet,15900,4.7,Tiger,8.0,2.0,8.0,128.0,6000.0,10.1,,5.0,13.0,,False,True
142,iKall,iKall N13 4G New Tablet,6999,4.75,Quad,4.0,2.0,3.0,32.0,4000.0,8.0,,5.0,8.0,Android,False,True
143,Oukitel,Oukitel RT7 Titan Tablet,79999,4.55,Dimensity,8.0,2.0,12.0,256.0,32000.0,10.1,,32.0,48.0,Android,True,True
144,Samsung,Samsung Galaxy Tab S9 Ultra 2023 Tablet (Wi-Fi+12GB+256GB),107014,4.0,Snapdragon,8.0,3.2,12.0,256.0,11200.0,14.6,120.0,12.0,13.0,Android,False,True
145,Samsung,Samsung Galaxy Tab S9 Tablet (Wi-Fi+8GB+128GB),72999,4.35,Snapdragon,8.0,3.2,8.0,128.0,8400.0,11.0,120.0,12.0,13.0,Android,False,True
146,Samsung,Samsung Galaxy Tab S9 Tablet (Wi-Fi+12GB+256GB),74999,4.25,Snapdragon,8.0,3.2,12.0,256.0,8400.0,11.0,120.0,12.0,13.0,Android,False,True
147,Samsung,Samsung Galaxy Tab S9 Ultra Tablet (Wi-Fi+12GB+512GB),119999,4.7,Snapdragon,8.0,3.2,12.0,512.0,11200.0,14.6,120.0,12.0,13.0,Android,False,True
148,Oukitel,Oukitel RT6 Tablet,19999,4.65,Helio,8.0,2.0,8.0,256.0,20000.0,10.1,,16.0,16.0,,False,True
149,Lenovo,Lenovo Legion Y700 2023 Gaming Tablet,29990,4.4,Snapdragon,8.0,3.2,12.0,256.0,6550.0,8.8,144.0,8.0,13.0,,False,True
150,Acer,Acer Iconia Tab M10,11999,4.05,Kompanio,8.0,2.0,4.0,64.0,6000.0,10.1,,5.0,13.0,Android,False,True
151,HTC,HTC A104 Tablet,15999,4.65,Unisoc,8.0,2.0,8.0,128.0,7000.0,10.36,,5.0,5.0,,False,True
152,Wishtel,Wishtel IRA T1021 4G,13380,4.75,Octa,8.0,2.0,4.0,64.0,8000.0,10.0,,5.0,8.0,,False,True
153,Huawei,Huawei MatePad 11.5,26999,4.45,Snapdragon,8.0,2.4,6.0,128.0,7700.0,11.5,120.0,8.0,13.0,Harmony,False,True
154,Acer,Acer One 10 T9-1212L Tablet (6GB RAM + 128GB),17899,4.1,Helio,8.0,2.0,6.0,128.0,7100.0,10.1,,5.0,13.0,,False,True
155,Doogee,Doogee T10S Tablet,16500,4.05,Unisoc,8.0,2.0,6.0,128.0,6600.0,10.1,,5.0,8.0,,False,True
156,Doogee,Doogee T20S Tablet,24999,4.35,Tiger,8.0,2.0,8.0,128.0,7500.0,10.4,,5.0,13.0,,False,True
157,Lenovo,Lenovo Tab M9 (3GB RAM+32GB+ WI-Fi Only),8999,4.45,Helio,8.0,2.0,3.0,32.0,5100.0,9.0,,2.0,8.0,Android,False,True
158,Blackview,Blackview Active 8 Pro,19990,4.6,Helio,8.0,2.2,8.0,256.0,22000.0,10.36,,16.0,48.0,,False,True
159,Honor,Honor Pad X8 Pro,10999,4.35,Snapdragon,8.0,2.8,4.0,128.0,7250.0,11.5,120.0,5.0,5.0,Android,False,True
160,Honor,Honor MagicPad 13 Tablet,36999,4.05,Snapdragon,8.0,2.84,8.0,256.0,10050.0,13.0,144.0,9.0,13.0,Android,False,True
161,Boox,Boox Tab Mini C eReader,87282,4.1,Snapdragon,8.0,,4.0,64.0,5000.0,7.8,,,,Android,False,True
