item_id,model_name,brand,price_inr,rating,num_ratings,color,type
218,Boult Audio Bassbuds X1 Wired Headset,Boult,299,4.1,166582,Red,In the Ear
219,Boult Audio ProBass Curve Neckband Bluetooth Headset,Boult,999,4.0,1143,Grey,In the Ear
220,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime...,Boult,1299,3.4,0,Black,True Wireless
221,Boult Audio ProBass Curve Neckband Bluetooth Headset,Boult,999,4.6,28,Grey,In the Ear
222,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime...,Boult,1299,3.7,6288,Black,True Wireless
223,Boult Audio Bassbuds X1 Wired Headset,Boult,299,4.0,0,Red,In the Ear
224,Boult Audio ProBass Curve Neckband Bluetooth Headset,Boult,799,4.0,333036,Black,In the Ear
225,Boult Audio ProBass Curve Neckband Bluetooth Headset,Boult,999,3.6,6222,Grey,In the Ear
226,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime...,Boult,1299,3.9,34,Black,True Wireless
227,Boult Audio ProBass Curve Neckband Bluetooth Headset,Boult,999,3.9,1204,Grey,In the Ear
228,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime...,Boult,1299,3.7,10787,Black,True Wireless
229,Boult Audio ProBass Curve Neckband Bluetooth Headset,Boult,799,3.6,558,Black,In the Ear
230,Boult Audio ProBass Curve Neckband Bluetooth Headset,Boult,999,3.0,4,Grey,In the Ear
231,Boult Audio Bass Buds StormX Wired Headset,Boult,299,4.8,5,Red,In the Ear
232,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime...,Boult,1299,3.7,3,Black,True Wireless
233,Boult Audio ProBass Curve Neckband Bluetooth Headset,Boult,799,4.0,1431,Black,In the Ear
234,Boult Audio ProBass Curve Neckband Bluetooth Headset,Boult,999,4.0,2834,Grey,In the Ear
235,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime...,Boult,1299,5.0,0,Black,True Wireless
236,Boult Audio ProBass Curve Neckband Bluetooth Headset,Boult,799,4.0,333036,Black,In the Ear
237,Boult Audio ProBass Curve Neckband Bluetooth Headset,Boult,999,3.3,34,Grey,In the Ear
238,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime...,Boult,1299,3.4,1014,Black,True Wireless
